DATE,CLOSE,VOLUME
2014-09-17,398.38,7215892.53
2014-09-18,388.28,5617441.83
2014-09-19,391.38,7786962.62
2014-09-20,372.86,4147694.81
2014-09-21,360.26,2193272.29
2014-09-22,362.41,6447217.1
2014-09-23,373.26,4314681.91
2014-09-24,384.38,5459629.13
2014-09-25,394.63,3744154.05
2014-09-26,391.57,4400981.7
2014-09-27,393.68,6021323.27
2014-09-28,400.84,5258533.15
2014-09-29,399.16,7200392.23
2014-09-30,413.95,6448721.23
2014-10-01,432.53,9947610.95
2014-10-02,436.83,9580168.97
2014-10-03,446.18,7414471.8
2014-10-04,447.92,4933880.59
2014-10-05,458.05,5207791.37
2014-10-06,451.07,6333067.88
2014-10-07,439.17,9150133.68
2014-10-08,436.25,2239027.55
2014-10-09,459.04,11068465.18
2014-10-10,454.72,5539800.9
2014-10-11,451.58,10118780.57
2014-10-12,451.09,10205550.68
2014-10-13,447.8,3820717.91
2014-10-14,442.67,6508611.6
2014-10-15,444.03,6694325.43
2014-10-16,434.72,9998604.3
2014-10-17,428.18,2973142.25
2014-10-18,438.45,7433712.31
2014-10-19,421.8,3701722.71
2014-10-20,422.94,7385555.29
2014-10-21,431.48,10444013.43
2014-10-22,446.78,2302522.95
2014-10-23,439.17,9456496.82
2014-10-24,450.96,3589357.87
2014-10-25,455.43,6295701.85
2014-10-26,459.72,9506881.65
2014-10-27,469.61,9279525.75
2014-10-28,476.65,4680249.06
2014-10-29,476.57,8701708.33
2014-10-30,474.35,3769018.07
2014-10-31,466.32,10716212.83
2014-11-01,472.48,10709827.76
2014-11-02,463.72,8457174.06
2014-11-03,435.92,5226736.42
2014-11-04,433.51,4459965.57
2014-11-05,431.8,5510841.7
2014-11-06,433.4,7893750.7
2014-11-07,417.75,6789626.1
2014-11-08,402.45,4410449.45
2014-11-09,391.65,6660991.08
2014-11-10,413.62,5952380.1
2014-11-11,407.61,4092027.72
2014-11-12,416.03,8767466.69
2014-11-13,423.37,4232765.82
2014-11-14,423.41,3377314.6
2014-11-15,422.06,4067914.17
2014-11-16,419.6,9178936.78
2014-11-17,405.5,5969558.27
2014-11-18,417.85,6795438.61
2014-11-19,416.41,4313212.77
2014-11-20,437.16,10474368.93
2014-11-21,451.44,6727158.26
2014-11-22,443.04,6006106.81
2014-11-23,452.57,9613020.53
2014-11-24,464.75,10885424.6
2014-11-25,459.23,4762588.85
2014-11-26,466.09,5203429.4
2014-11-27,472.1,11079559.39
2014-11-28,460.04,8825870.0
2014-11-29,448.7,3136186.12
2014-11-30,448.19,9930505.55
2014-12-01,441.4,3680408.92
2014-12-02,430.61,3463461.04
2014-12-03,455.58,4878033.65
2014-12-04,470.06,9772360.42
2014-12-05,470.04,10477076.88
2014-12-06,470.23,3080911.85
2014-12-07,485.09,9707485.84
2014-12-08,478.52,3244551.69
2014-12-09,476.88,8582658.31
2014-12-10,492.65,5785448.76
2014-12-11,503.37,4257198.18
2014-12-12,485.88,5842121.86
2014-12-13,482.02,3127820.51
2014-12-14,481.1,10854228.98
2014-12-15,478.53,7112188.42
2014-12-16,485.82,9892877.74
2014-12-17,497.89,8558629.83
2014-12-18,505.68,11278008.0
2014-12-19,505.3,7116430.15
2014-12-20,495.93,9506207.83
2014-12-21,499.14,7002678.69
2014-12-22,514.43,11719557.94
2014-12-23,525.69,11785580.72
2014-12-24,519.29,11412014.72
2014-12-25,522.33,4408010.05
2014-12-26,529.03,3050186.79
2014-12-27,536.66,12003475.84
2014-12-28,525.83,10691349.7
2014-12-29,537.41,12841903.79
2014-12-30,522.57,6087899.11
2014-12-31,528.36,8104854.55
2015-01-01,524.99,3604745.07
2015-01-02,514.51,8379034.56
2015-01-03,509.54,7718876.57
2015-01-04,507.33,8507950.34
2015-01-05,497.17,10598630.47
2015-01-06,484.25,7617826.95
2015-01-07,485.3,6096875.94
2015-01-08,492.16,10890298.23
2015-01-09,504.32,10689417.43
2015-01-10,497.46,7208816.37
2015-01-11,503.1,11002355.52
2015-01-12,484.17,3820836.0
2015-01-13,473.22,3299957.88
2015-01-14,478.14,8442347.55
2015-01-15,488.5,11727939.94
2015-01-16,483.32,9954526.4
2015-01-17,477.81,7621414.74
2015-01-18,474.19,9801215.06
2015-01-19,489.98,8518737.56
2015-01-20,499.44,10661893.57
2015-01-21,505.02,5068573.41
2015-01-22,510.38,9012983.76
2015-01-23,502.28,11443701.5
2015-01-24,507.48,3190376.73
2015-01-25,511.76,7515339.65
2015-01-26,525.57,7685041.94
2015-01-27,520.54,8579841.34
2015-01-28,519.12,2747308.12
2015-01-29,531.89,2703759.82
2015-01-30,535.35,7570397.07
2015-01-31,537.69,8099560.12
2015-02-01,541.65,4061382.44
